code,file_size,pricesens,link,time,notices,pages
AUS,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
WRL,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
OOO,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
QAG,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
QCB,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
NDQ,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
BEA,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
QOZ,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
HVS,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
BBO,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
QUS,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
POU,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
EEU,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
GGU,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
